ORDER_ID,CUSTOMER_ID,MFG_PLANT_ID,ORDER_DATE,PRODUCT_ID,QUANTITY,UNIT_PRICE,TOTAL_PRICE,ORDER_STATUS
1,3001,1001,2024-11-15T08:30:00.000Z,5001,2,125000.00,250000.00,Delivered
2,3002,1002,2024-12-02T14:15:00.000Z,5002,1,85000.00,85000.00,Shipped
3,3003,1003,2024-12-10T09:45:00.000Z,5003,3,95000.00,285000.00,In Production
4,3004,1001,2024-12-18T11:20:00.000Z,5004,1,72000.00,72000.00,Placed
5,3005,1002,2024-12-22T16:30:00.000Z,5005,2,58000.00,116000.00,Placed
6,3006,1004,2024-11-20T10:15:00.000Z,5006,1,89000.00,89000.00,Delivered
7,3007,1005,2024-11-28T13:45:00.000Z,5007,1,145000.00,145000.00,Shipped
8,3008,1006,2024-12-05T12:00:00.000Z,5008,2,67000.00,134000.00,In Production
9,3009,1004,2024-12-12T15:30:00.000Z,5009,1,78000.00,78000.00,Placed
10,3010,1005,2024-12-15T09:00:00.000Z,5010,3,95000.00,285000.00,Placed
11,4001,1007,2024-11-25T11:45:00.000Z,6001,2,145000.00,290000.00,Delivered
12,4002,1008,2024-12-01T14:20:00.000Z,6002,1,185000.00,185000.00,Shipped
13,4003,1009,2024-12-08T10:30:00.000Z,6003,1,95000.00,95000.00,In Production
14,4004,1007,2024-12-14T16:15:00.000Z,6004,2,78000.00,156000.00,Placed
15,4005,1008,2024-12-20T13:00:00.000Z,6005,2,65000.00,130000.00,Placed
16,4006,1010,2024-11-18T09:30:00.000Z,6006,1,52000.00,52000.00,Delivered
17,4007,1011,2024-11-30T12:45:00.000Z,6007,2,125000.00,250000.00,Shipped
18,4008,1012,2024-12-07T15:20:00.000Z,6008,1,165000.00,165000.00,In Production
19,4009,1010,2024-12-13T11:00:00.000Z,6009,3,115000.00,345000.00,Placed
20,4010,1011,2024-12-19T14:30:00.000Z,6010,1,195000.00,195000.00,Placed
21,5001,1013,2024-11-22T10:15:00.000Z,7001,2,89000.00,178000.00,Delivered
22,5002,1014,2024-12-03T13:45:00.000Z,7002,1,125000.00,125000.00,Shipped
23,5003,1015,2024-12-09T11:30:00.000Z,7003,1,95000.00,95000.00,In Production
24,5004,1013,2024-12-16T15:20:00.000Z,7004,5,35000.00,175000.00,Placed
25,5005,1014,2024-12-21T12:00:00.000Z,7005,2,78000.00,156000.00,Placed
26,5006,1016,2024-11-19T09:30:00.000Z,7006,1,85000.00,85000.00,Delivered
27,5007,1017,2024-12-04T14:45:00.000Z,7007,2,145000.00,290000.00,Shipped
28,5008,1018,2024-12-11T16:20:00.000Z,7008,1,185000.00,185000.00,In Production
29,5009,1015,2024-12-17T10:00:00.000Z,7009,3,95000.00,285000.00,Placed
30,5010,1016,2024-12-23T13:30:00.000Z,7010,1,65000.00,65000.00,Placed
31,6001,1019,2024-11-21T11:15:00.000Z,8001,1,450000.00,450000.00,Delivered
32,6002,1020,2024-12-05T15:45:00.000Z,8002,2,285000.00,570000.00,Shipped
33,6003,1021,2024-12-12T12:30:00.000Z,8003,1,650000.00,650000.00,In Production
34,6004,1019,2024-12-18T14:20:00.000Z,8004,3,125000.00,375000.00,Placed
35,6005,1020,2024-12-24T16:00:00.000Z,8005,2,85000.00,170000.00,Placed
36,6006,1022,2024-11-26T10:45:00.000Z,8006,1,95000.00,95000.00,Delivered
37,6007,1023,2024-12-06T13:15:00.000Z,8007,1,185000.00,185000.00,Shipped
38,6008,1024,2024-12-13T15:30:00.000Z,8008,2,425000.00,850000.00,In Production
39,6009,1022,2024-12-19T11:45:00.000Z,8009,1,375000.00,375000.00,Placed
40,6010,1023,2024-12-25T14:00:00.000Z,8010,3,155000.00,465000.00,Placed
41,3001,1003,2024-11-17T09:15:00.000Z,5002,1,85000.00,85000.00,Delivered
42,3002,1001,2024-12-04T16:30:00.000Z,5003,2,95000.00,190000.00,Shipped
43,3004,1006,2024-12-11T13:45:00.000Z,5001,1,125000.00,125000.00,In Production
44,4002,1009,2024-12-16T10:20:00.000Z,6002,1,185000.00,185000.00,Placed
45,4005,1012,2024-12-22T14:15:00.000Z,6005,3,65000.00,195000.00,Placed
46,5002,1015,2024-11-23T12:30:00.000Z,7003,2,95000.00,190000.00,Delivered
47,5004,1017,2024-12-07T15:45:00.000Z,7001,1,89000.00,89000.00,Shipped
48,6003,1022,2024-12-14T11:00:00.000Z,8002,2,285000.00,570000.00,In Production
49,6007,1024,2024-12-20T16:30:00.000Z,8004,1,125000.00,125000.00,Placed
50,6010,1021,2024-12-26T13:15:00.000Z,8003,1,650000.00,650000.00,Placed