SHIPMENT_ID,ORIGIN_MFG_PLANT_ID,DESTINATION_CUSTOMER_ID,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,SHIPPING_COST,TRACKING_NUMBER
1001,1001,3001,2024-11-16,2024-11-20,2024-11-19,2850.75,TRK001001AA
1002,1002,3002,2024-12-03,2024-12-08,2024-12-07,1950.25,TRK002001BB
1003,1003,3003,2024-12-11,2024-12-17,2024-12-16,3450.60,TRK003001CC
1004,1001,3004,2024-12-19,2024-12-25,2024-12-24,2750.40,TRK004001DD
1005,1002,3005,2024-12-23,2024-12-29,2024-12-28,3150.80,TRK005001EE
1006,1004,3006,2024-11-21,2024-11-27,2024-11-26,1850.30,TRK006001FF
1007,1005,3007,2024-11-29,2024-12-05,2024-12-04,2950.45,TRK007001GG
1008,1006,3008,2024-12-06,2024-12-12,2024-12-11,4250.85,TRK008001HH
1009,1004,3009,2024-12-13,2024-12-19,2024-12-18,3750.65,TRK009001II
1010,1005,3010,2024-12-16,2024-12-22,2024-12-21,2650.95,TRK010001JJ
1011,1007,4001,2024-11-26,2024-12-02,2024-12-01,1950.50,TRK011001KK
1012,1008,4002,2024-12-02,2024-12-08,2024-12-07,2150.75,TRK012001LL
1013,1009,4003,2024-12-09,2024-12-15,2024-12-14,3350.40,TRK013001MM
1014,1007,4004,2024-12-15,2024-12-21,2024-12-20,2850.60,TRK014001NN
1015,1008,4005,2024-12-21,2024-12-27,2024-12-26,2450.85,TRK015001OO
1016,1010,4006,2024-11-19,2024-11-25,2024-11-24,2750.25,TRK016001PP
1017,1011,4007,2024-12-01,2024-12-07,2024-12-06,1950.70,TRK017001QQ
1018,1012,4008,2024-12-08,2024-12-14,2024-12-13,4850.90,TRK018001RR
1019,1010,4009,2024-12-14,2024-12-20,2024-12-19,3650.55,TRK019001SS
1020,1011,4010,2024-12-20,2024-12-26,2024-12-25,2950.80,TRK020001TT
1021,1013,5001,2024-11-23,2024-11-29,2024-11-28,1850.45,TRK021001UU
1022,1014,5002,2024-12-04,2024-12-10,2024-12-09,2150.60,TRK022001VV
1023,1015,5003,2024-12-10,2024-12-16,2024-12-15,3250.75,TRK023001WW
1024,1013,5004,2024-12-17,2024-12-23,2024-12-22,2750.90,TRK024001XX
1025,1014,5005,2024-12-22,2024-12-28,2024-12-27,2350.40,TRK025001YY
1026,1016,5006,2024-11-20,2024-11-26,2024-11-25,1950.85,TRK026001ZZ
1027,1017,5007,2024-12-05,2024-12-11,2024-12-10,2650.75,TRK027001AAA
1028,1018,5008,2024-12-12,2024-12-18,2024-12-17,3450.90,TRK028001BBB
1029,1015,5009,2024-12-18,2024-12-24,2024-12-23,2850.65,TRK029001CCC
1030,1016,5010,2024-12-24,2024-12-30,2024-12-29,2150.50,TRK030001DDD
1031,1019,6001,2024-11-22,2024-11-28,2024-11-27,4850.75,TRK031001EEE
1032,1020,6002,2024-12-06,2024-12-12,2024-12-11,5250.90,TRK032001FFF
1033,1021,6003,2024-12-13,2024-12-19,2024-12-18,6850.40,TRK033001GGG
1034,1019,6004,2024-12-19,2024-12-25,2024-12-24,4250.65,TRK034001HHH
1035,1020,6005,2024-12-25,2024-12-31,2024-12-30,3650.85,TRK035001III
1036,1022,6006,2024-11-27,2024-12-03,2024-12-02,2950.50,TRK036001JJJ
1037,1023,6007,2024-12-07,2024-12-13,2024-12-12,3850.75,TRK037001KKK
1038,1024,6008,2024-12-14,2024-12-20,2024-12-19,7250.90,TRK038001LLL
1039,1022,6009,2024-12-20,2024-12-26,2024-12-25,5450.65,TRK039001MMM
1040,1023,6010,2024-12-26,2025-01-01,2024-12-31,4850.80,TRK040001NNN
1041,1003,3001,2024-11-18,2024-11-24,2024-11-23,2150.45,TRK041001OOO
1042,1001,3002,2024-12-05,2024-12-11,2024-12-10,2650.60,TRK042001PPP
1043,1006,3004,2024-12-12,2024-12-18,2024-12-17,3250.75,TRK043001QQQ
1044,1009,4002,2024-12-17,2024-12-23,2024-12-22,3850.90,TRK044001RRR
1045,1012,4005,2024-12-23,2024-12-29,2024-12-28,4250.40,TRK045001SSS